,Unnamed: 0,Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction,FL_C,FL_C_3,FL_C_12
52,52,1,54.9,55.1,3.0,60.9,22.0,63.5,34.8,3,1,0.2000000000000028,-38.9,-28.700000000000003
53,53,0,78.6,53.2,9.0,65.8,38.8,84.1,60.8,9,1,-25.39999999999999,-27.0,-23.3
54,54,0,68.7,52.1,6.0,82.1,41.3,90.4,44.2,13,0,-16.6,-40.8,-46.2
55,55,1,51.1,25.6,2.0,57.6,56.6,70.5,60.9,7,1,-25.5,-1.0,-9.6
56,56,1,37.2,32.0,5.0,68.3,22.3,61.8,31.4,6,2,-5.200000000000003,-46.0,-30.4
57,57,0,98.7,59.3,9.0,60.3,58.3,68.7026088831392,33.0,0,2,-39.400000000000006,-2.0,-35.702608883139206
58,58,0,78.4,39.2,6.0,99.1,69.4,94.4,47.5,7,1,-39.2,-29.69999999999999,-46.900000000000006
59,59,1,51.8,24.3,3.0,51.4,31.2,62.8,31.2,2,1,-27.5,-20.2,-31.6
60,60,1,55.3,37.4,4.0,34.0,50.4,68.1,38.8,7,0,-17.9,16.4,-29.3
61,61,0,95.9,21.2,6.0,71.9,62.7,69.5,42.8,12,1,-74.7,-9.200000000000005,-26.700000000000003
62,62,1,32.8,62.8,3.0,69.6,28.2,67.7,53.2,13,0,30.0,-41.39999999999999,-14.5
63,63,1,57.0,37.9,3.0,34.1,27.7,73.6,32.2,11,0,-19.1,-6.400000000000002,-41.39999999999999
64,64,0,80.5,44.6,9.0,79.4,44.0,71.8,37.5,0,2,-35.9,-35.400000000000006,-34.3
65,65,1,39.0,58.3,5.0,50.3,33.8,51.1,28.0,2,1,19.3,-16.5,-23.1
66,66,0,68.62007330746034,33.9,7.0,83.2,33.6,80.7,20.1,0,0,-34.720073307460346,-49.6,-60.6
67,67,1,30.7,36.1,2.0,32.0,24.7,31.6,25.9,6,2,5.400000000000002,-7.300000000000001,-5.700000000000003
68,68,0,91.8,44.9,7.0,68.38984476067282,68.1,85.9,40.6,9,2,-46.9,-0.2898447606728211,-45.3
69,69,1,56.5,55.0,2.0,77.2,56.7,30.1,53.5,10,2,-1.5,-20.5,23.4
70,70,0,94.8,39.6,6.0,74.3,53.8,81.7,34.1,5,1,-55.2,-20.5,-47.6
71,71,0,64.0,44.6,7.0,88.9,56.2,97.0,60.6,2,1,-19.4,-32.7,-36.4
72,72,1,94.1,57.3,6.0,68.38984476067282,21.0,82.6,41.9,8,0,-36.8,-47.389844760672815,-40.7
73,73,1,80.4,40.5,7.0,83.1,51.8,92.2,39.5,3,2,-39.900000000000006,-31.3,-52.7
74,74,0,81.0,53.1,6.0,79.1,45.85,84.4,63.2,2,0,-27.9,-33.25,-21.200000000000003
75,75,1,78.9,54.5,4.0,59.7,67.2,75.0,33.1,10,1,-24.40000000000001,7.5,-41.9
76,76,1,35.4,27.5,4.0,55.5,53.9,50.1,62.3,11,1,-7.899999999999999,-1.6000000000000014,12.199999999999996
77,77,1,37.9,51.6,5.0,36.6,37.1,51.2,22.4,9,1,13.700000000000005,0.5,-28.800000000000004
78,78,1,63.4,52.7,2.0,57.2,31.7,72.7,22.4,12,0,-10.699999999999996,-25.500000000000004,-50.3
79,79,1,33.8,37.0,4.0,77.5,22.2,53.7,51.2,5,2,3.200000000000003,-55.3,-2.5
80,80,0,63.4,24.8,9.0,95.9,52.9,96.0,50.9,6,2,-38.6,-43.00000000000001,-45.1
81,81,0,68.62007330746034,68.3,7.0,83.2,24.6,83.5,43.5,4,1,-0.3200733074603477,-58.6,-40.0
82,82,1,55.1,32.1,2.0,64.5,37.9,74.3,28.5,12,1,-23.0,-26.6,-45.8
83,83,0,83.7,30.0,6.0,89.3,42.3,97.9,34.2,6,0,-53.7,-47.0,-63.7
84,84,1,69.7,56.0,3.0,63.3,37.1,33.4,32.7,5,1,-13.700000000000005,-26.2,-0.6999999999999957
85,85,0,88.2,41.5,7.0,76.8,40.6,95.3,53.3,12,2,-46.7,-36.2,-42.0
86,86,1,73.1,61.6,4.0,70.3,26.6,53.6,64.0,5,0,-11.499999999999991,-43.7,10.4
87,87,0,85.5,59.4,6.0,95.7,53.4,81.8,55.1,10,1,-26.1,-42.3,-26.7
88,88,1,51.3,51.7,1.0,51.7,53.3,74.3,35.0,5,0,0.4000000000000057,1.5999999999999943,-39.3
89,89,1,60.3,30.7,5.0,30.2,51.1,56.8,51.7,0,1,-29.6,20.9,-5.099999999999994
90,90,0,78.1,45.8,7.0,88.9,55.4,80.2,52.1,4,0,-32.3,-33.50000000000001,-28.1
91,91,1,36.3,50.3,2.0,50.5,52.7,54.2,64.9,13,1,14.0,2.200000000000003,10.700000000000005
92,92,1,68.5,66.9,4.0,61.8,54.3,69.3,31.9,12,1,-1.5999999999999943,-7.5,-37.4
93,93,0,62.2,21.7,7.0,83.8,54.0,62.6,58.2,11,1,-40.5,-29.8,-4.399999999999999
94,94,1,61.6,23.1,4.0,52.2,30.7,64.1,28.1,3,1,-38.5,-21.500000000000004,-35.99999999999999
95,95,0,83.4,68.0,6.0,88.2,57.5,68.7026088831392,45.9,2,0,-15.400000000000006,-30.700000000000003,-22.802608883139207
96,96,0,81.1,67.0,6.0,97.9,42.7,85.1,42.4,5,2,-14.099999999999994,-55.2,-42.7
97,97,1,52.0,54.1,2.0,55.6,31.9,54.0,66.0,1,2,2.1000000000000014,-23.700000000000003,12.0
98,98,1,66.1,34.4,4.0,59.2,66.7,55.9,55.8,10,2,-31.7,7.5,-0.1000000000000014
99,99,1,34.1,55.7,1.0,57.8,51.7,68.1,63.8,6,0,21.6,-6.099999999999994,-4.299999999999997
100,100,1,76.1,62.4,5.0,30.3,36.5,63.3,58.3,11,2,-13.699999999999996,6.199999999999999,-5.0
101,101,1,62.3,54.0,5.0,62.7,35.6,31.5,37.9,2,2,-8.299999999999997,-27.1,6.399999999999999
102,102,0,91.1,66.6,6.0,93.9,55.8,78.7,31.0,4,1,-24.5,-38.10000000000001,-47.7
103,103,1,56.0,22.6,1.0,67.9,61.5,36.2,35.3,6,1,-33.4,-6.400000000000006,-0.9000000000000057
104,104,1,53.6,37.7,5.0,64.7,58.9,72.1,30.6,0,1,-15.9,-5.800000000000004,-41.49999999999999
105,105,0,60.5,42.6,7.0,94.4,56.3,83.4,44.5,8,1,-17.9,-38.10000000000001,-38.900000000000006
106,106,1,51.8,57.8,3.0,66.9,32.8,70.5,38.8,7,2,6.0,-34.10000000000001,-31.700000000000003
107,107,1,70.2,55.5,1.0,74.2,51.4,63.7,56.0,5,2,-14.700000000000005,-22.800000000000004,-7.700000000000003
108,108,0,90.5,49.8,6.0,80.7,41.1,85.1,43.2,3,1,-40.7,-39.6,-41.89999999999999
109,109,0,89.7,52.5,8.0,70.7,69.5,82.8,49.4,12,1,-37.2,-1.2000000000000028,-33.4
110,110,1,56.5,53.8,3.0,64.2,56.0,62.3,55.7,11,0,-2.700000000000003,-8.200000000000003,-6.599999999999994
111,111,0,82.1,61.8,6.0,82.7,23.9,90.8,31.1,4,0,-20.3,-58.8,-59.7
112,112,1,89.5,64.2,6.0,81.0,60.3,71.0,42.8,2,0,-25.3,-20.700000000000003,-28.200000000000003
113,113,0,71.3,51.6,6.0,62.6,52.8,90.1,58.7,7,0,-19.7,-9.800000000000004,-31.39999999999999
114,114,0,98.9,52.9,8.0,87.9,50.1,69.3,40.6,7,1,-46.00000000000001,-37.8,-28.7
115,115,1,64.3,51.2,3.0,30.1,53.4,62.1,62.2,11,2,-13.099999999999994,23.3,0.1000000000000014
116,116,0,97.2,57.7,9.0,89.0,66.7,84.2,27.5,9,2,-39.5,-22.3,-56.7
117,117,0,93.0,50.5,7.0,86.5,55.2,74.6,52.9,8,1,-42.5,-31.3,-21.7
118,118,0,60.4,47.6,9.0,91.2,51.9,90.1,57.6,7,0,-12.799999999999995,-39.3,-32.49999999999999
119,119,1,31.0,35.9,2.0,67.4,36.0,51.5,36.9,11,0,4.899999999999999,-31.40000000000001,-14.6
120,120,1,61.8,52.8,3.0,30.8,23.7,73.9,22.3,7,2,-9.0,-7.100000000000001,-51.60000000000001
121,121,1,62.8,35.7,3.0,55.4,34.1,69.3,55.4,13,1,-27.099999999999994,-21.3,-13.9
122,122,0,73.7,65.9,6.0,85.6,38.8,94.1,55.1,6,0,-7.799999999999997,-46.8,-38.99999999999999
123,123,0,73.4,52.7,7.0,82.7,45.85,66.4,33.6,5,0,-20.700000000000003,-36.85000000000001,-32.800000000000004
124,124,0,94.2,41.2,6.0,86.6,39.3,73.8,52.0,12,1,-53.0,-47.3,-21.8
125,125,1,52.7,55.7,3.0,38.7,37.2,53.6,28.9,8,1,3.0,-1.5,-24.700000000000003
126,126,0,82.5,38.6,6.0,84.6,52.2,92.0,61.2,4,2,-43.9,-32.39999999999999,-30.8
127,127,0,81.2,36.4,6.0,80.1,51.2,76.0,55.5,11,0,-44.8,-28.89999999999999,-20.5
128,128,1,33.7,26.9,4.0,51.8,64.3,75.4,23.2,1,2,-6.800000000000004,12.5,-52.2
129,129,0,60.9,26.4,9.0,63.7,49.4,91.8,64.4,8,1,-34.5,-14.300000000000004,-27.39999999999999
130,130,1,79.9,33.1,4.0,66.8,36.4,68.0,54.6,6,1,-46.8,-30.4,-13.4
131,131,1,73.9,55.5,1.0,50.2,23.0,55.3,50.1,7,0,-18.40000000000001,-27.200000000000003,-5.199999999999996
132,132,0,95.0,50.2,7.0,83.9,63.3,79.8,46.1,7,1,-44.8,-20.60000000000001,-33.7
133,133,0,96.3,58.2,8.0,99.0,24.1,69.2,26.6,6,1,-38.1,-74.9,-42.6
134,134,1,74.6,50.0,1.0,62.5,22.6,53.2,24.4,11,1,-24.599999999999994,-39.9,-28.800000000000004
135,135,0,79.7,42.8,6.0,82.4,47.3,84.7,51.9,1,0,-36.900000000000006,-35.10000000000001,-32.800000000000004
136,136,0,93.4,64.3,9.0,83.2,41.3,70.7,37.0,13,2,-29.10000000000001,-41.900000000000006,-33.7
137,137,0,88.2,44.3,6.0,87.2,43.4,69.3,31.2,11,1,-43.900000000000006,-43.8,-38.1
138,138,1,50.8,51.5,5.0,66.3,36.7,32.8,35.3,4,1,0.7000000000000028,-29.599999999999994,2.5
139,139,0,70.4,21.9,9.0,84.7,49.0,68.8,51.7,7,1,-48.50000000000001,-35.7,-17.099999999999994
140,140,1,51.3,56.5,3.0,62.0,25.2,58.9,32.9,2,2,5.200000000000003,-36.8,-26.0
141,141,0,93.0,24.2,7.0,90.0,40.1,68.7026088831392,36.9,3,0,-68.8,-49.9,-31.802608883139207
142,142,1,72.6,66.9,1.0,52.1,52.5,72.2,58.7,9,2,-5.699999999999989,0.3999999999999986,-13.5
143,143,0,74.3,41.6,9.0,84.3,40.7,78.7,41.2,7,1,-32.7,-43.6,-37.5
144,144,0,91.3,58.6,8.0,75.7,48.0,81.2,56.7,9,2,-32.7,-27.700000000000003,-24.5
145,145,0,70.8,23.6,7.0,83.8,45.85,60.7,51.3,1,2,-47.2,-37.95,-9.400000000000006
146,146,0,99.2,35.3,8.0,85.3,34.0,73.7,56.6,1,1,-63.900000000000006,-51.3,-17.1
147,147,1,55.2,34.4,5.0,32.4,57.7,60.8,26.5,3,2,-20.800000000000004,25.300000000000004,-34.3
148,148,0,60.3,43.6,9.0,61.7,69.5,75.3,40.1,5,0,-16.699999999999996,7.799999999999997,-35.2
149,149,0,93.0,34.9,7.0,62.1,47.1,80.1,20.4,10,2,-58.1,-15.0,-59.7
150,150,0,80.4,55.8,8.0,60.0,33.0,89.6,21.5,7,1,-24.60000000000001,-27.0,-68.1
151,151,0,71.2,64.9,6.0,82.1,37.0,86.2,24.3,8,1,-6.299999999999997,-45.1,-61.900000000000006
152,152,0,61.9,66.1,7.0,89.8,31.6,84.4,35.5,10,1,4.199999999999996,-58.2,-48.900000000000006
153,153,0,75.3,63.3,9.0,70.8,27.9,85.3,64.8,6,2,-12.0,-42.9,-20.5
154,154,0,65.7,36.2,6.0,61.7,56.7,77.3,56.9,12,1,-29.5,-5.0,-20.4
155,155,0,85.5,59.0,7.0,72.3,65.9,87.1,34.4,6,1,-26.5,-6.399999999999992,-52.7
156,156,1,35.1,60.1,2.0,52.5,53.1,75.8,35.7,7,0,25.0,0.6000000000000014,-40.1
157,157,1,57.8,28.3,1.0,35.0,30.8,32.9,38.4,10,2,-29.5,-4.199999999999999,5.5
158,158,1,68.0,53.1,2.0,62.9,53.4,60.6,28.8,8,1,-14.9,-9.5,-31.8
159,159,0,77.7,41.9,7.0,85.1,56.3,92.1,55.3,11,1,-35.800000000000004,-28.8,-36.8
160,160,1,53.3,21.0,4.0,70.7,68.4,67.0,58.1,12,2,-32.3,-2.299999999999997,-8.899999999999999
161,161,0,60.6,23.9,9.0,74.7,47.0,97.6,53.9,9,2,-36.7,-27.700000000000003,-43.7
162,162,1,61.3,39.1,5.0,80.7,66.3,69.3,50.0,7,2,-22.2,-14.400000000000006,-19.3
163,163,0,98.8,42.9,6.0,92.3,56.0,83.2,50.3,5,2,-55.9,-36.3,-32.900000000000006
164,164,0,91.9,32.8,7.0,65.1,53.0,79.2,50.1,5,0,-59.10000000000001,-12.099999999999994,-29.1
165,165,1,56.9,32.7,2.0,38.6,24.3,51.1,51.3,13,1,-24.2,-14.3,0.1999999999999957
166,166,0,73.2,53.7,9.0,73.9,58.4,92.0,54.5,9,0,-19.5,-15.500000000000009,-37.5
167,167,1,59.7,58.4,1.0,79.9,31.2,72.2,50.8,9,2,-1.3000000000000045,-48.7,-21.40000000000001
168,168,0,85.2,57.5,9.0,89.8,43.9,68.5,51.3,11,2,-27.700000000000003,-45.9,-17.200000000000003
169,169,0,80.9,62.5,6.0,93.6,44.2,98.1,69.4,2,0,-18.40000000000001,-49.39999999999999,-28.69999999999999
170,170,1,55.3,32.6,4.0,59.1,52.7,70.7,54.9,8,1,-22.7,-6.399999999999999,-15.800000000000004
171,171,1,57.7,31.5,4.0,51.1,55.7,51.2,65.9,2,2,-26.200000000000003,4.600000000000001,14.700000000000005
172,172,0,91.7,52.3,8.0,64.7,41.8,82.7,43.5,2,1,-39.400000000000006,-22.90000000000001,-39.2
173,173,1,54.7,64.1,2.0,66.1,52.0,31.7,24.8,10,0,9.399999999999991,-14.099999999999994,-6.899999999999999
174,174,1,58.0,30.1,1.0,51.8,54.4,56.8,61.7,3,2,-27.9,2.6000000000000014,4.900000000000006
175,175,1,69.8,30.2,4.0,33.5,30.4,56.0,36.3,10,2,-39.6,-3.1000000000000014,-19.700000000000003
176,176,1,53.8,57.9,1.0,51.4,34.9,54.3,62.9,3,2,4.100000000000001,-16.5,8.600000000000001
177,177,1,61.9,38.5,4.0,74.6,51.7,51.0,52.9,10,1,-23.4,-22.89999999999999,1.8999999999999984
178,178,1,63.3,50.8,1.0,37.6,55.4,37.1,54.0,10,0,-12.5,17.799999999999997,16.9
179,179,1,51.1,33.4,1.0,65.6,33.0,54.0,64.9,8,1,-17.700000000000003,-32.599999999999994,10.900000000000006
180,180,0,84.5,64.3,7.0,90.0,52.0,99.5,51.1,9,1,-20.200000000000003,-38.0,-48.4
181,181,0,96.2,56.7,9.0,82.5,50.8,86.9,43.0,13,1,-39.5,-31.700000000000003,-43.900000000000006
182,182,1,51.9,23.4,5.0,52.4,55.3,67.2,31.1,13,1,-28.5,2.8999999999999986,-36.1
183,183,1,61.7,63.5,2.0,60.4,60.5,31.3,67.2,5,1,1.7999999999999972,0.1000000000000014,35.900000000000006
184,184,0,84.9,58.0,6.0,73.1,22.7,80.7,53.4,7,1,-26.90000000000001,-50.39999999999999,-27.300000000000004
185,185,1,68.3,54.5,3.0,60.3,31.2,59.2,36.3,7,2,-13.799999999999995,-29.1,-22.90000000000001
186,186,0,67.5,54.5,6.0,67.1,48.6,98.7,21.2,11,2,-13.0,-18.499999999999996,-77.5
187,187,0,86.5,33.1,8.0,92.0,51.6,99.7,50.3,9,2,-53.4,-40.4,-49.400000000000006
188,188,1,53.0,27.2,2.0,71.6,36.3,66.5,32.6,10,0,-25.8,-35.3,-33.9
189,189,0,90.9,31.7,9.0,87.6,61.2,73.9,37.9,10,0,-59.2,-26.39999999999999,-36.00000000000001
190,190,1,61.5,35.8,2.0,50.6,21.7,64.1,33.4,3,2,-25.700000000000003,-28.9,-30.7
191,191,0,99.2,62.4,6.0,72.2,68.1,73.5,40.5,13,1,-36.8,-4.1000000000000085,-33.0
192,192,0,84.0,66.1,6.0,97.8,31.9,90.3,47.5,7,2,-17.900000000000006,-65.9,-42.8
193,193,1,75.2,51.2,4.0,64.3,20.2,60.7,36.0,3,0,-24.0,-44.1,-24.700000000000003
194,194,0,63.5,42.3,9.0,97.9,30.7,85.9,54.0,6,2,-21.200000000000003,-67.2,-31.90000000000001
195,195,1,56.9,35.1,3.0,57.7,61.4,77.6,53.6,4,2,-21.8,3.699999999999996,-23.999999999999996
196,196,1,65.7,58.5,5.0,50.8,31.7,33.1,56.9,11,1,-7.200000000000003,-19.1,23.8
197,197,1,50.7,35.6,5.0,54.0,50.3,30.0,52.5,12,1,-15.1,-3.700000000000003,22.5
198,198,0,91.9,58.9,8.0,80.1,42.2,88.1,42.0,3,2,-33.00000000000001,-37.89999999999999,-46.1
199,199,0,85.4,44.1,8.0,86.2,40.7,84.0,59.9,5,2,-41.3,-45.5,-24.1
200,200,0,93.2,46.2,7.0,69.9,62.9,86.7,31.4,7,2,-47.0,-7.000000000000007,-55.3
201,201,0,60.7,29.5,6.0,84.5,24.7,84.2,40.7,12,1,-31.200000000000003,-59.8,-43.5
202,202,0,78.0,63.9,7.0,70.2,54.0,91.5,70.0,7,1,-14.1,-16.200000000000003,-21.5
203,203,1,72.4,62.0,3.0,63.9,37.5,60.0,55.3,10,1,-10.400000000000006,-26.4,-4.700000000000003
204,204,1,66.0,30.0,1.0,57.1,57.2,50.0,69.0,4,0,-36.0,0.1000000000000014,19.0
205,205,0,99.9,42.3,6.0,88.6,42.1,94.6,51.7,2,0,-57.60000000000001,-46.49999999999999,-42.89999999999999
206,206,1,52.9,34.9,5.0,63.2,36.3,52.4,63.7,2,1,-18.0,-26.90000000000001,11.300000000000004
207,207,1,34.3,54.1,3.0,75.8,22.3,32.9,37.6,12,0,19.800000000000004,-53.5,4.700000000000003
208,208,0,68.62007330746034,24.5,7.0,99.4,42.4,82.4,59.6,3,2,-44.120073307460345,-57.00000000000001,-22.800000000000004
209,209,0,86.1,43.3,8.0,94.5,32.1,81.7,63.4,5,2,-42.8,-62.4,-18.300000000000004
210,210,1,66.3,51.9,5.0,53.9,34.6,31.9,36.0,12,0,-14.4,-19.3,4.100000000000001
211,211,1,51.2,23.3,4.0,64.5,30.8,70.1,50.1,12,1,-27.9,-33.7,-19.999999999999996
212,212,0,86.9,54.7,8.0,72.7,58.1,76.9,65.8,3,0,-32.2,-14.6,-11.100000000000009
213,213,0,64.7,31.5,6.0,79.6,20.4,81.4,67.6,1,2,-33.2,-59.2,-13.800000000000011
214,214,0,83.8,51.1,5.0,70.4,66.7,97.2,48.4,0,2,-32.7,-3.700000000000003,-48.8
215,215,0,84.1,24.4,8.0,96.6,43.0,82.8,44.7,5,2,-59.7,-53.6,-38.1
216,216,0,90.9,69.4,6.0,68.8,54.3,67.7,51.8,7,0,-21.5,-14.5,-15.900000000000006
217,217,0,87.8,53.1,6.0,94.3,67.2,70.3,43.4,6,1,-34.7,-27.099999999999994,-26.9
218,218,1,77.4,31.3,1.0,52.7,37.4,34.5,52.2,0,2,-46.10000000000001,-15.300000000000004,17.700000000000003
219,219,1,38.1,65.1,3.0,39.3,58.7,52.4,54.3,5,1,26.999999999999996,19.40000000000001,1.8999999999999984
220,220,1,31.9,31.3,2.0,64.4,32.3,65.5,53.1,3,0,-0.5999999999999979,-32.10000000000001,-12.4
221,221,0,97.6,21.7,8.0,79.9,41.4,80.3,58.8,5,0,-75.89999999999999,-38.50000000000001,-21.5
222,222,1,59.9,35.4,3.0,60.5,51.5,67.3,57.2,11,2,-24.5,-9.0,-10.099999999999994
223,223,1,72.4,35.5,5.0,58.0,57.5,57.3,58.9,10,2,-36.900000000000006,-0.5,1.6000000000000014
224,224,1,79.1,55.2,3.0,37.5,34.8,52.5,52.7,1,1,-23.89999999999999,-2.700000000000003,0.2000000000000028
225,225,1,60.1,65.7,3.0,69.5,33.1,34.2,54.8,0,1,5.600000000000001,-36.4,20.599999999999994
226,226,0,95.7,56.5,9.0,80.0,54.6,81.4,22.0,0,1,-39.2,-25.4,-59.400000000000006
227,227,0,74.6,55.8,9.0,64.7,63.2,86.7,46.7,11,2,-18.8,-1.5,-40.0
228,228,1,93.4,27.0,9.0,86.1,40.0,83.6,55.8,0,2,-66.4,-46.1,-27.8
229,229,0,82.7,33.7,6.0,65.4,49.5,91.7,31.4,1,0,-49.0,-15.900000000000006,-60.3
230,230,1,68.3,53.5,1.0,72.5,25.5,32.4,57.3,0,1,-14.799999999999995,-47.0,24.9
231,231,1,65.6,28.0,3.0,62.8,20.1,69.2,38.5,2,1,-37.6,-42.7,-30.700000000000003
232,232,0,74.6,49.0,7.0,61.7,51.4,74.7,53.0,4,1,-25.599999999999994,-10.300000000000004,-21.700000000000003
233,233,1,65.7,50.4,2.0,54.5,52.8,59.5,51.8,6,0,-15.300000000000004,-1.7000000000000028,-7.700000000000003
234,234,0,83.2,52.5,8.0,88.0,66.9,82.9,48.5,4,2,-30.700000000000003,-21.099999999999994,-34.400000000000006
235,235,1,77.7,20.7,2.0,73.6,56.1,60.2,30.0,1,0,-57.0,-17.499999999999993,-30.200000000000003
