,Class,FL_B,FL_A,VS,FL_B_3,FL_A_3,FL_B_12,FL_A_12,Container Type,Recyclable fraction,FL_C,FL_C_3,FL_C_12
85,0,1.1053117299009505,-0.2634431014295442,0.7693374401451565,76.8,40.6,95.3,53.3,12,2,-1.1921530900285815,-36.199999999999996,-42.0
86,1,0.2571555283527764,1.0874833266376482,-0.45698414791529796,70.3,26.6,53.6,64.0,5,0,0.5861311492290845,-43.699999999999996,10.399999999999999
87,0,0.9536546607499524,0.9396207325208409,0.36056357745833834,95.7,53.4,81.8,55.1,10,1,-0.1514526545539249,-42.300000000000004,-26.699999999999996
88,1,-0.967334881829355,0.42210165311201625,-1.6833057359757524,51.7,53.3,74.3,35.0,5,0,1.187312468750852,1.5999999999999943,-39.3
89,1,-0.4618113179926952,-0.989314018002961,-0.048210285228479824,30.2,51.1,56.8,51.7,0,1,-0.32827068970738577,20.900000000000002,-5.099999999999994
90,0,0.5380019527064763,0.025561059798760426,0.7693374401451565,88.9,55.4,80.2,52.1,4,0,-0.4646731739686271,-33.50000000000001,-28.1
91,1,-1.8098741548904547,0.32800727503768407,-1.2745318732889344,50.5,52.7,54.2,64.9,13,1,1.8743768339185862,2.200000000000003,10.700000000000003
92,1,-0.0012231820526272105,1.4436977579190475,-0.45698414791529796,61.8,54.3,69.3,31.9,12,1,1.0862735915203028,-7.5,-37.4
93,0,-0.35508967673828895,-1.5942064484808083,0.7693374401451565,83.8,54.0,62.6,58.2,11,1,-0.8789325706138789,-29.799999999999997,-4.399999999999999
94,1,-0.388791247660733,-1.5001120704064763,-0.45698414791529796,52.2,30.7,64.1,28.1,3,1,-0.7778936933833297,-21.500000000000004,-35.99999999999999
95,0,0.8356991625213989,1.5176290549774507,0.36056357745833834,88.2,57.5,68.7026088831392,45.9,2,0,0.38910533862951296,-30.700000000000003,-22.802608883139207
96,0,0.7065098073186963,1.4504187849243566,0.36056357745833834,97.9,42.7,85.1,42.4,5,2,0.4547806088293705,-55.2,-42.699999999999996
97,1,-0.9280163824198369,0.5834063012394421,-1.2745318732889344,55.6,31.9,54.0,66.0,1,2,1.2731955143968186,-23.700000000000003,12.0
98,1,-0.1360294657424035,-0.7406360188065128,-0.45698414791529796,59.2,66.7,55.9,55.8,10,2,-0.4343615107994623,7.5,-0.10000000000000142
99,1,-1.9334465816060824,0.6909427333243928,-1.6833057359757524,57.8,51.7,68.1,63.8,6,0,2.258324567394673,-6.099999999999994,-4.299999999999997
100,1,0.42566338296499634,1.1412515426801233,-0.048210285228479824,30.3,36.5,63.3,58.3,11,2,0.47498838427548024,6.199999999999999,-5.0
101,1,-0.34947274825121527,0.5766852742341326,-0.048210285228479824,62.7,35.6,31.5,37.9,2,2,0.747793352797963,-27.1,6.399999999999999
102,0,1.268202656026096,1.4235346769031185,0.36056357745833834,93.9,55.8,78.7,31.0,4,1,-0.0706215527694855,-38.10000000000001,-47.7
103,1,-0.703339242936877,-1.5337172054330235,-1.6833057359757524,67.9,61.5,36.2,35.3,6,1,-0.5202445564454292,-6.400000000000006,-0.9000000000000057
104,1,-0.8381455266266529,-0.5188421276313018,-0.048210285228479824,64.7,58.9,72.1,30.6,0,1,0.36384561932187603,-5.800000000000004,-41.49999999999999
105,0,-0.45057746101854707,-0.18951180437114057,0.7693374401451565,94.4,56.3,83.4,44.5,8,1,0.2628067420913269,-38.10000000000001,-38.900000000000006
106,1,-0.939250239393985,0.8320843004358902,-0.8657580106021161,66.9,32.8,70.5,38.8,7,2,1.4702213249963894,-34.10000000000001,-31.700000000000003
107,1,0.09426460222763092,0.6775006793137739,-1.6833057359757524,74.2,51.4,63.7,56.0,5,2,0.4244689456602053,-22.800000000000004,-7.700000000000003
108,0,1.2345010851036524,0.294402140011137,0.36056357745833834,80.7,41.1,85.1,43.2,3,1,-0.8890364583369339,-39.6,-41.89999999999999
109,0,1.1895656572070605,0.4758698691544914,1.1781113028319747,70.7,69.5,82.8,49.4,12,1,-0.712218423183473,-1.2000000000000028,-33.4
110,1,-0.675254600501507,0.5632432202235136,-0.8657580106021161,64.2,56.0,62.3,55.7,11,0,1.0307022090435003,-8.200000000000003,-6.599999999999994
111,0,0.7626790921894362,1.1009253806482668,0.36056357745833834,82.7,23.9,90.8,31.1,4,0,0.1415600894146679,-58.800000000000004,-59.699999999999996
112,1,1.1783318002329124,1.2622300287756931,0.36056357745833834,81.0,60.3,71.0,42.8,2,0,-0.11103710366170502,-20.700000000000003,-28.200000000000003
113,0,0.15605081558544456,0.4153806261067068,0.36056357745833834,62.6,52.8,90.1,58.7,7,0,0.17187175258383272,-9.800000000000004,-31.39999999999999
114,0,1.7063230780178684,0.502753977175729,1.1781113028319747,87.9,50.1,69.3,40.6,7,1,-1.1567894829978895,-37.800000000000004,-28.699999999999996
115,1,-0.23713417850973528,0.3884965180854692,-0.8657580106021161,30.1,53.4,62.1,62.2,11,2,0.5053000474446451,23.299999999999997,0.10000000000000142
116,0,1.6108352937376105,0.8253632734305811,1.5868851655187928,89.0,66.7,84.2,27.5,9,2,-0.8284131319986043,-22.299999999999997,-56.7
117,0,1.3749242972805023,0.3414493290483031,0.7693374401451565,86.5,55.2,74.6,52.9,8,1,-0.979971447844428,-31.299999999999997,-21.699999999999996
118,0,-0.45619438950562113,0.1465395458943302,1.5868851655187928,91.2,51.9,90.1,57.6,7,0,0.5204558790292273,-39.300000000000004,-32.49999999999999
119,1,-2.1075713647053766,-0.6398206137268715,-1.2745318732889344,67.4,36.0,51.5,36.9,11,0,1.4146499425195873,-31.400000000000006,-14.600000000000001
120,1,-0.3775573906865852,0.49603295017041943,-0.8657580106021161,30.8,23.7,73.9,22.3,7,2,0.7124297457672706,-7.100000000000001,-51.60000000000001
121,1,-0.32138810581584526,-0.6532626677374901,-0.8657580106021161,55.4,34.1,69.3,55.4,13,1,-0.20197209316919915,-21.299999999999997,-13.899999999999999
122,0,0.29085709927522085,1.3764874878659534,0.36056357745833834,85.6,38.8,94.1,55.1,6,0,0.7730530721056003,-46.8,-38.99999999999999
123,0,0.27400631381399904,0.4893119231651104,0.7693374401451565,82.7,45.849999999999994,66.4,33.6,5,0,0.12135231396855779,-36.85000000000001,-32.800000000000004
124,0,1.4423274391253904,-0.28360618244547225,0.36056357745833834,86.6,39.3,73.8,52.0,12,1,-1.5104255533048112,-47.3,-21.799999999999997
125,1,-0.8886978830103187,0.6909427333243928,-0.8657580106021161,38.7,37.2,53.6,28.9,8,1,1.3186630091505656,-1.5,-24.700000000000003
126,0,0.7851468061377325,-0.45835288458351714,0.36056357745833834,84.6,52.2,92.0,61.2,4,2,-1.0506986619058125,-32.39999999999999,-30.799999999999997
127,0,0.7121267358057707,-0.6062154787003244,0.36056357745833834,80.1,51.2,76.0,55.5,11,0,-1.0961661566595597,-28.89999999999999,-20.5
128,1,-1.9559142955543785,-1.244713044204719,-0.45698414791529796,51.8,64.3,75.4,23.2,1,2,0.8235725107208745,12.5,-52.2
129,0,-0.4281097470702511,-1.278318179231266,1.5868851655187928,63.7,49.4,91.8,64.4,8,1,-0.5758159389222314,-14.300000000000004,-27.39999999999999
130,1,0.6391066654738089,-0.828009369875535,-0.45698414791529796,66.8,36.4,68.0,54.6,6,1,-1.197205033890109,-30.4,-13.399999999999999
131,1,0.302090956249369,0.6775006793137739,-1.6833057359757524,50.2,23.0,55.3,50.1,7,0,0.2375470227836892,-27.200000000000003,-5.199999999999996
132,0,1.4872628670219823,0.32128624803237504,0.7693374401451565,83.9,63.3,79.8,46.1,7,1,-1.0961661566595595,-20.60000000000001,-33.699999999999996
133,0,1.5602829373539442,0.8589684084571282,1.1781113028319747,99.0,24.1,69.2,26.6,6,1,-0.7576859179372196,-74.9,-42.6
134,1,0.34140945565888636,0.30784419402175606,-1.6833057359757524,62.5,22.6,53.2,24.4,11,1,-0.07567349663101267,-39.9,-28.800000000000004
135,0,0.6278728084996608,-0.17606975036052203,0.36056357745833834,82.4,47.3,84.7,51.9,1,0,-0.6970625915988906,-35.10000000000001,-32.800000000000004
136,0,1.3973920112287985,1.2689510557810022,1.5868851655187928,83.2,41.3,70.7,37.0,13,2,-0.303010970399749,-41.900000000000006,-33.7
137,0,1.1053117299009505,-0.07525434528088079,0.36056357745833834,87.2,43.4,69.3,31.2,11,1,-1.0506986619058127,-43.800000000000004,-38.099999999999994
138,1,-0.995419524264725,0.40865959910139726,-0.048210285228479824,66.3,36.7,32.8,35.3,4,1,1.2024683003354342,-29.599999999999994,2.5
139,0,0.10549845920177907,-1.5807643944701897,1.5868851655187928,84.7,49.0,68.8,51.7,7,1,-1.283088079536076,-35.7,-17.099999999999994
140,1,-0.967334881829355,0.744710949366868,-0.8657580106021161,62.0,25.2,58.9,32.9,2,2,1.4298057741041699,-36.8,-26.0
141,0,1.3749242972805023,-1.426180773348073,0.7693374401451565,90.0,40.1,68.7026088831392,36.9,3,0,-2.3086326834261492,-49.9,-31.802608883139207
142,1,0.2290708859174064,1.4436977579190475,-1.6833057359757524,52.1,52.5,72.2,58.7,9,2,0.8791438931976773,0.3999999999999986,-13.5
143,0,0.32455867019766454,-0.2567220744242347,1.5868851655187928,84.3,40.7,78.7,41.2,7,1,-0.4848809494147369,-43.599999999999994,-37.5
144,0,1.2794365130002443,0.8858525164783658,1.1781113028319747,75.7,48.0,81.2,56.7,9,2,-0.4848809494147369,-27.700000000000003,-24.5
145,0,0.12796617315007458,-1.4665069353799294,0.7693374401451565,83.8,45.849999999999994,60.7,51.3,1,2,-1.2174128093362184,-37.95,-9.400000000000006
146,0,1.7231738634790903,-0.6801467757587281,1.1781113028319747,85.3,34.0,73.7,56.6,1,1,-2.0610874342113044,-51.3,-17.1
147,1,-0.7482746708334688,-0.7406360188065128,-0.048210285228479824,32.4,57.7,60.8,26.5,3,2,0.11630037010703026,25.300000000000004,-34.3
148,0,-0.4618113179926952,-0.12230153431804641,1.5868851655187928,61.7,69.5,75.3,40.1,5,0,0.3234300684296565,7.799999999999997,-35.199999999999996
149,0,1.3749242972805023,-0.7070308837799657,0.7693374401451565,62.1,47.1,80.1,20.4,10,2,-1.7680746902427118,-15.0,-59.699999999999996
150,0,0.6671913079091789,0.6976637603297019,1.1781113028319747,60.0,33.0,89.6,21.5,7,1,-0.07567349663101339,-27.0,-68.1
151,0,0.1504338870983709,1.309277217812859,0.36056357745833834,82.1,37.0,86.2,24.3,8,1,0.8488322300285122,-45.099999999999994,-61.900000000000006
152,0,-0.37194046219951116,1.3899295418765714,0.7693374401451565,89.8,31.6,84.4,35.5,10,1,1.379286335488895,-58.199999999999996,-48.900000000000006
153,0,0.3807279550684045,1.2017407857279079,1.5868851655187928,70.8,27.9,85.3,64.8,6,2,0.5608714299214468,-42.9,-20.5
154,0,-0.15849717969069899,-0.619657532710943,0.36056357745833834,61.7,56.7,77.3,56.9,12,1,-0.3232187458458584,-5.0,-20.4
155,0,0.9536546607499524,0.9127366244996034,0.7693374401451565,72.3,65.9,87.1,34.4,6,1,-0.17166043000003467,-6.3999999999999915,-52.699999999999996
156,1,-1.8772772967353424,0.986667921558007,-1.2745318732889344,52.5,53.1,75.8,35.7,7,0,2.430090658686607,0.6000000000000014,-40.099999999999994
157,1,-0.6022345301695452,-1.150618666130387,-1.6833057359757524,35.0,30.8,32.9,38.4,10,2,-0.32321874584585825,-4.199999999999999,5.5
158,1,-0.0293078244879972,0.5161960311863479,-1.2745318732889344,62.9,53.4,60.6,28.8,8,1,0.4143650579371506,-9.5,-31.8
159,0,0.5155342387581807,-0.23655899340830666,0.7693374401451565,85.1,56.3,92.1,55.3,11,1,-0.6414912091220886,-28.799999999999997,-36.8
160,1,-0.8549963120878751,-1.6412536375179743,-0.45698414791529796,70.7,68.4,67.0,58.1,12,2,-0.4646731739686271,-2.299999999999997,-8.899999999999999
161,0,-0.444960532531473,-1.4463438543640013,1.5868851655187928,74.7,47.0,97.6,53.9,9,2,-0.6869587038758356,-27.700000000000003,-43.699999999999996
162,1,-0.40564203312195524,-0.4247477495569701,-0.048210285228479824,80.7,66.3,69.3,50.0,7,2,0.04557315604564627,-14.400000000000006,-19.299999999999997
163,0,1.700706149530794,-0.1693487233552125,0.36056357745833834,92.3,56.0,83.2,50.3,5,2,-1.6569319252891077,-36.3,-32.900000000000006
164,0,1.3131380839226887,-0.8481724508914634,0.7693374401451565,65.1,53.0,79.2,50.1,5,0,-1.8185941288579865,-12.099999999999994,-29.1
165,1,-0.652786886553211,-0.8548934778967725,-1.2745318732889344,38.6,24.3,51.1,51.3,13,1,-0.05546572118490291,-14.3,0.19999999999999574
166,0,0.26277245683985084,0.5565221932182045,1.5868851655187928,73.9,58.4,92.0,54.5,9,0,0.18197564030688743,-15.500000000000007,-37.5
167,1,-0.4955128889151389,0.8724104624677468,-1.6833057359757524,79.9,31.2,72.2,50.8,9,2,1.1014294231048847,-48.7,-21.400000000000006
168,0,0.9368038752887307,0.8119212194199621,1.5868851655187928,89.8,43.9,68.5,51.3,11,2,-0.23228375633836432,-45.9,-17.200000000000003
169,0,0.6952759503445489,1.1479725696854328,0.36056357745833834,93.6,44.2,98.1,69.4,2,0,0.2375470227836892,-49.39999999999999,-28.69999999999999
170,1,-0.7426577423463951,-0.861614504902082,-0.45698414791529796,59.1,52.7,70.7,54.9,8,1,0.020313436738008974,-6.399999999999999,-15.800000000000004
171,1,-0.6078514586566188,-0.9355458019604856,-0.45698414791529796,51.1,55.7,51.2,65.9,2,2,-0.15650459841545244,4.600000000000001,14.700000000000003
172,0,1.3019042269485406,0.4624278151438724,1.1781113028319747,64.7,41.8,82.7,43.5,2,1,-0.8233611881370771,-22.900000000000006,-39.2
173,1,-0.7763593132688388,1.2555090017703832,-1.2745318732889344,66.1,52.0,31.7,24.8,10,0,1.6419874162883228,-14.099999999999994,-6.899999999999999
174,1,-0.5910006731953971,-1.0296401800348174,-1.6833057359757524,51.8,54.4,56.8,61.7,3,2,-0.24238764406141902,2.6000000000000014,4.900000000000006
175,1,0.0717968882793346,-1.022919153029508,-0.45698414791529796,33.5,30.4,56.0,36.3,10,2,-0.8334650758601315,-3.1000000000000014,-19.700000000000003
176,1,-0.8269116696525051,0.8388053274411997,-1.6833057359757524,51.4,34.9,54.3,62.9,3,2,1.3742343916273678,-16.5,8.600000000000001
177,1,-0.37194046219951116,-0.46507391158882666,-0.45698414791529796,74.6,51.7,51.0,52.9,10,1,-0.015050170292683381,-22.89999999999999,1.8999999999999986
178,1,-0.29330346338047525,0.36161241006423117,-1.6833057359757524,37.6,55.4,37.1,54.0,10,0,0.5356117106138095,17.799999999999997,16.9
179,1,-0.9785687388035028,-0.8078462888596069,-1.6833057359757524,65.6,33.0,54.0,64.9,8,1,0.2729106298143815,-32.599999999999994,10.900000000000006
